男歌手,#geren#
刘允乐,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/liuyunle.m3u8
金久哲,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/jinjiuzhe.m3u8
亚东,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/yadong.m3u8
dj阿圣,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/djasheng.m3u8
大哲,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/dazhe.m3u8
李尖尖,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/lijianjian.m3u8
张栋梁,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangdongliang.m3u8
张云雷,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhangyunlei.m3u8
马頔,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/madi.m3u8
周兴哲,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/zhouxingzhe.m3u8
廖昌永,https://raw.githubusercontent.com/langyueyx/vt/main/music/man/liaochangyong.m3u8
